desc,valor,metraje,dormitorios,barrio
3 Dormitorios en Punta Gorda,450000,140.0,3 Dormitorios,Punta Gorda
3 Dormitorios en Pocitos,450000,203.0,3 Dormitorios,Pocitos
3 Dormitorios en Punta Gorda,450000,240.0,3 Dormitorios,Punta Gorda
3 Dormitorios en Parque Batlle,450000,195.0,3 Dormitorios,Parque Batlle
Más de 4 dormitorios en Malvin,450000,272.0,Más de 4 dormitorios,Malvin
3 Dormitorios en Punta Gorda,450000,170.0,3 Dormitorios,Punta Gorda
Más de 4 dormitorios en Parque Rodo,450000,300.0,Más de 4 dormitorios,Parque Rodo
Más de 4 dormitorios en Cordon,450000,769.0,Más de 4 dormitorios,Cordon
3 Dormitorios en Malvin,450000,250.0,3 Dormitorios,Malvin
3 Dormitorios en Carrasco,450000,223.0,3 Dormitorios,Carrasco
4 Dormitorios en Parque Batlle,450000,150.0,4 Dormitorios,Parque Batlle
3 Dormitorios en Carrasco,450000,223.0,3 Dormitorios,Carrasco
Más de 4 dormitorios en Ciudad Vieja,450000,782.0,Más de 4 dormitorios,Ciudad Vieja
4 Dormitorios en Parque Batlle,450000,160.0,4 Dormitorios,Parque Batlle
Más de 4 dormitorios en Pocitos,450000,200.0,Más de 4 dormitorios,Pocitos
4 Dormitorios en Villa Biarritz,450000,240.0,4 Dormitorios,Villa Biarritz
Más de 4 dormitorios en Punta Carretas,450000,254.0,Más de 4 dormitorios,Punta Carretas
3 Dormitorios en Parque Batlle,450000,150.0,3 Dormitorios,Parque Batlle
3 Dormitorios en La Comercial,450000,180.0,3 Dormitorios,La Comercial
3 Dormitorios en Cordon,450000,370.0,3 Dormitorios,Cordon
3 Dormitorios en La Comercial,450000,,3 Dormitorios,La Comercial
3 Dormitorios en Punta Gorda,450000,532.0,3 Dormitorios,Punta Gorda
3 Dormitorios en Punta Gorda,450000,532.0,3 Dormitorios,Punta Gorda
Más de 4 dormitorios en La Blanqueada,450000,177.0,Más de 4 dormitorios,La Blanqueada
Más de 4 dormitorios en Carrasco,450000,,Más de 4 dormitorios,Carrasco
3 Dormitorios en Ciudad Vieja,450000,322.0,3 Dormitorios,Ciudad Vieja
3 Dormitorios en Ciudad Vieja,450000,289.0,3 Dormitorios,Ciudad Vieja
4 Dormitorios en Punta Gorda,450000,750.0,4 Dormitorios,Punta Gorda
Más de 4 dormitorios en Ciudad Vieja,450000,670.0,Más de 4 dormitorios,Ciudad Vieja
3 Dormitorios en Parque Miramar,450000,122.0,3 Dormitorios,Parque Miramar
4 Dormitorios en Colon,450000,350.0,4 Dormitorios,Colon
Más de 4 dormitorios en Sayago,450000,,Más de 4 dormitorios,Sayago
Más de 4 dormitorios en Pocitos,450000,224.0,Más de 4 dormitorios,Pocitos
3 Dormitorios en Pocitos,450000,211.0,3 Dormitorios,Pocitos
4 Dormitorios en Puerto Buceo,450000,140.0,4 Dormitorios,Puerto Buceo
3 Dormitorios en La Blanqueada,450000,232.0,3 Dormitorios,La Blanqueada
3 Dormitorios en Pocitos Nuevo,450000,180.0,3 Dormitorios,Pocitos Nuevo
Más de 4 dormitorios en Malvin,450000,250.0,Más de 4 dormitorios,Malvin
4 Dormitorios en Carrasco,450000,1.0,4 Dormitorios,Carrasco
Más de 4 dormitorios en Centro,450000,399.0,Más de 4 dormitorios,Centro
4 Dormitorios en Parque Batlle,450000,,4 Dormitorios,Parque Batlle
4 Dormitorios en La Blanqueada,450000,,4 Dormitorios,La Blanqueada
3 Dormitorios en La Blanqueada,450000,220.0,3 Dormitorios,La Blanqueada
3 Dormitorios en Carrasco,450000,200.0,3 Dormitorios,Carrasco
Más de 4 dormitorios en La Blanqueada,450000,323.0,Más de 4 dormitorios,La Blanqueada
Más de 4 dormitorios en Atahualpa,450000,276.0,Más de 4 dormitorios,Atahualpa
3 Dormitorios en Punta Gorda,450000,273.0,3 Dormitorios,Punta Gorda
Más de 4 dormitorios en Carrasco Norte,450000,,Más de 4 dormitorios,Carrasco Norte
3 Dormitorios en Carrasco,450000,200.0,3 Dormitorios,Carrasco
Más de 4 dormitorios en Colon,450000,350.0,Más de 4 dormitorios,Colon
4 Dormitorios en Prado,450000,250.0,4 Dormitorios,Prado
3 Dormitorios en La Blanqueada,450000,209.0,3 Dormitorios,La Blanqueada
4 Dormitorios en Malvin,460000,303.0,4 Dormitorios,Malvin
Más de 4 dormitorios en Prado,460000,300.0,Más de 4 dormitorios,Prado
Más de 4 dormitorios en Prado,460000,300.0,Más de 4 dormitorios,Prado
3 Dormitorios en Malvin,460000,469.0,3 Dormitorios,Malvin
4 Dormitorios en Carrasco,460000,217.0,4 Dormitorios,Carrasco
Más de 4 dormitorios en Prado,460000,209.0,Más de 4 dormitorios,Prado
Más de 4 dormitorios en Prado,460000,240.0,Más de 4 dormitorios,Prado
Más de 4 dormitorios en Prado,460000,,Más de 4 dormitorios,Prado
3 Dormitorios en Punta Gorda,460000,180.0,3 Dormitorios,Punta Gorda
4 Dormitorios en Parque Batlle,460000,230.0,4 Dormitorios,Parque Batlle
4 Dormitorios en Cordon,460000,317.0,4 Dormitorios,Cordon
3 Dormitorios en Carrasco,460000,147.0,3 Dormitorios,Carrasco
3 Dormitorios en Punta Gorda,460000,160.0,3 Dormitorios,Punta Gorda
1 Ambiente en Ciudad Vieja,460000,700.0,1 Ambiente,Ciudad Vieja
3 Dormitorios en Pocitos,460000,303.0,3 Dormitorios,Pocitos
3 Dormitorios en Carrasco,460000,225.0,3 Dormitorios,Carrasco
3 Dormitorios en Punta Gorda,460000,150.0,3 Dormitorios,Punta Gorda
4 Dormitorios en Carrasco,460000,260.0,4 Dormitorios,Carrasco
3 Dormitorios en Punta Gorda,460000,170.0,3 Dormitorios,Punta Gorda
Más de 4 dormitorios en Pocitos,460000,241.0,Más de 4 dormitorios,Pocitos
3 Dormitorios en Punta Gorda,460000,180.0,3 Dormitorios,Punta Gorda
3 Dormitorios en Punta Gorda,460000,180.0,3 Dormitorios,Punta Gorda
4 Dormitorios en Parque Batlle,460000,230.0,4 Dormitorios,Parque Batlle
Más de 4 dormitorios en Prado,460000,,Más de 4 dormitorios,Prado
Más de 4 dormitorios en Malvin,460000,319.0,Más de 4 dormitorios,Malvin
Más de 4 dormitorios en Prado,460000,240.0,Más de 4 dormitorios,Prado
3 Dormitorios en Parque Batlle,460000,146.0,3 Dormitorios,Parque Batlle
Más de 4 dormitorios en Prado,460000,240.0,Más de 4 dormitorios,Prado
Más de 4 dormitorios en Belvedere,465000,288.0,Más de 4 dormitorios,Belvedere
4 Dormitorios en Carrasco,465000,340.0,4 Dormitorios,Carrasco
3 Dormitorios en Parque Miramar,465000,137.0,3 Dormitorios,Parque Miramar
Más de 4 dormitorios en Prado,465000,,Más de 4 dormitorios,Prado
3 Dormitorios en Punta Gorda,465000,200.0,3 Dormitorios,Punta Gorda
3 Dormitorios en Punta Gorda,465000,378.0,3 Dormitorios,Punta Gorda
3 Dormitorios en Punta Gorda,465000,400.0,3 Dormitorios,Punta Gorda
3 Dormitorios en Pocitos,470000,200.0,3 Dormitorios,Pocitos
3 Dormitorios en Puerto Buceo,470000,171.0,3 Dormitorios,Puerto Buceo
3 Dormitorios en Otro,470000,140.0,3 Dormitorios,Otro
3 Dormitorios en Carrasco,470000,185.0,3 Dormitorios,Carrasco
3 Dormitorios en Punta Gorda,470000,180.0,3 Dormitorios,Punta Gorda
Más de 4 dormitorios en Prado,470000,272.0,Más de 4 dormitorios,Prado
4 Dormitorios en Punta Carretas,470000,196.0,4 Dormitorios,Punta Carretas
Más de 4 dormitorios en Prado,470000,392.0,Más de 4 dormitorios,Prado
4 Dormitorios en Pocitos,470000,250.0,4 Dormitorios,Pocitos
4 Dormitorios en Malvin,470000,220.0,4 Dormitorios,Malvin
Más de 4 dormitorios en Buceo,470000,360.0,Más de 4 dormitorios,Buceo
3 Dormitorios en Puerto Buceo,470000,171.0,3 Dormitorios,Puerto Buceo
Más de 4 dormitorios en Pocitos,470000,196.0,Más de 4 dormitorios,Pocitos
3 Dormitorios en Carrasco,470000,150.0,3 Dormitorios,Carrasco
