desc,valor,url,lat,lng
3 Dormitorios - 110 m2,U$S 219.000,https://www.gallito.com.uy/venta-casa-punta-del-este-ref-151-inmuebles-18086386,,
3 Dormitorios,U$S 220.000,https://www.gallito.com.uy/linda-casa-de-dos-plantas-en-brava-inmuebles-19087875,-34.955,-54.971
4 Dormitorios,U$S 220.000,https://www.gallito.com.uy/cabaã±a-en-el-golf-4-dormitorios-con-terraza-y-parrillero-inmuebles-19064336,,
3 Dormitorios,U$S 220.000,https://www.gallito.com.uy/casa-ph-en-la-brava-a-media-cuadra-de-la-playa-disfrute-d-inmuebles-17888251,,
3 Dormitorios,U$S 220.000,https://www.gallito.com.uy/brava-excelente-oportunidad-en-propiedad-horizontal-3-dormi-inmuebles-19233447,-34.9505,-54.92945
3 Dormitorios,U$S 220.000,https://www.gallito.com.uy/casa-ph-en-la-brava-a-media-cuadra-de-la-playa-disfrute-d-inmuebles-18613206,,
3 Dormitorios,U$S 220.000,https://www.gallito.com.uy/casa-ph-en-la-brava-a-media-cuadra-de-la-playa-disfrute-d-inmuebles-18613162,,
2 Dormitorios - 120 m2,U$S 220.000,https://www.gallito.com.uy/2-dormitorios-manantiales-manantiales-inmuebles-19872938,-34.90179,-54.82164
3 Dormitorios,U$S 220.000,https://www.gallito.com.uy/simpatica-casa-en-la-brava-pasos-del-mar-inmuebles-18992800,,
4 Dormitorios - 161 m2,U$S 220.000,https://www.gallito.com.uy/venta-de-casa-4-dormitorios-en-san-rafael-ref-4013-inmuebles-20146975,-34.93658,-54.91989
4 Dormitorios - 130 m2,U$S 220.000,https://www.gallito.com.uy/moderna-casa-en-chihuahua-inmuebles-19359437,-34.8731,-55.07838
3 Dormitorios,U$S 220.000,https://www.gallito.com.uy/casa-en-venta-la-barra-3-dormitorios-inmuebles-17750359,-34.90776,-54.86287
3 Dormitorios,U$S 220.000,https://www.gallito.com.uy/casa-ph-en-la-brava-a-media-cuadra-de-la-playa-disfrute-d-inmuebles-17907665,,
2 Dormitorios - 100 m2,U$S 220.000,https://www.gallito.com.uy/2-dormitorios-alcalde-de-salamea-inmuebles-19872946,-34.90407,-55.01176
3 Dormitorios,U$S 220.000,https://www.gallito.com.uy/zona-golf-casas-ideal-para-disfrutar-del-varano-en-punta-de-inmuebles-15656803,,
3 Dormitorios,U$S 220.000,https://www.gallito.com.uy/casa-en-propiedad-horizontal-golf-inmuebles-15656804,,
3 Dormitorios,U$S 225.000,https://www.gallito.com.uy/casa-de-3-dormitorios-en-mansa-punta-del-este-inmuebles-16906138,,
3 Dormitorios,U$S 225.000,https://www.gallito.com.uy/preciosa-casa-edificada-en-propiedad-horizontal-consulte-inmuebles-19891044,,
3 Dormitorios,U$S 225.000,https://www.gallito.com.uy/casa-en-mansa-3-dormitorios-con-parrillero-inmuebles-19064116,,
4 Dormitorios,U$S 228.000,https://www.gallito.com.uy/casa-en-montoya-consulte-inmuebles-18264933,,
2 Dormitorios,U$S 228.000,https://www.gallito.com.uy/muy-linda-casa-en-la-barra-inmuebles-19879189,,
2 Dormitorios - 77 m2,U$S 228.000,https://www.gallito.com.uy/venta-casa-punta-del-este-la-barra-2-dormitorios-inmuebles-19707437,,
