desc,valor,metraje,url,lat,lng
2 Dormitorios en Cerrito,U$S 56.000,,https://www.gallito.com.uy/casa-en-venta-2-dormitorios-1-baã±o-francisco-plã-cerrito-inmuebles-17490175,-34.85053,-56.17575
2 Dormitorios en Cerrito,U$S 56.000,40.0,https://www.gallito.com.uy/2-dormitorios-casa-venta-cerrito-montevideo-imasuy-l-inmuebles-19487931,-34.85053,-56.17575
2 Dormitorios en Colon,U$S 56.000,100.0,https://www.gallito.com.uy/linda-casa-en-ph-inmuebles-17401317,-34.81823,-56.22748
1 Dormitorio en Villa Española,U$S 56.000,45.0,https://www.gallito.com.uy/casa-con-jardin-con-rejas-porton-para-auto-inmuebles-19753708,-34.86363,-56.13903
2 Dormitorios en Paso Molino,U$S 56.600,,https://www.gallito.com.uy/se-vende-casa-de-dos-dormitorios-en-zona-paso-molino-inmuebles-17553125,-34.85296,-56.21666
2 Dormitorios en J. Hipodromo,U$S 57.000,52.0,https://www.gallito.com.uy/av-dr-carlos-nery-a-mts-de-estadio-jardines-del-hipodromo-inmuebles-18525643,-34.83792,-56.1337
2 Dormitorios en Cerro,U$S 57.000,50.0,https://www.gallito.com.uy/coqueta-casa-en-el-cerro-inmuebles-17520740,-34.87623,-56.26443
2 Dormitorios en Paso De La Arena,U$S 57.000,200.0,https://www.gallito.com.uy/venta-casa-paso-de-la-arena-inmuebles-19536066,,
2 Dormitorios en Peñarol,U$S 58.000,41.0,https://www.gallito.com.uy/a-mts-de-cnel-raiz-inmuebles-16975580,-34.82887,-56.20001
2 Dormitorios en Peñarol,U$S 58.000,,https://www.gallito.com.uy/casa-ph-planchada-amplio-fdo-inmuebles-18145142,,
2 Dormitorios en Perez Castellanos,U$S 58.000,70.0,https://www.gallito.com.uy/venta-por-viaje-ph-2-dorm-patio-cocina-y-baño-a-nuevos-inmuebles-18993709,,
2 Dormitorios en Prado,U$S 58.000,57.0,https://www.gallito.com.uy/oficina-sosa-apto-en-molinos-de-raffo-y-ma-orticochea-inmuebles-19827404,-32.87555,-56.02015
2 Dormitorios en Brazo Oriental,U$S 58.000,35.0,https://www.gallito.com.uy/venta-casa-2-dormitorios-en-brazo-oriental-ideal-inversion-inmuebles-19558877,-34.86993,-56.17958
2 Dormitorios en Malvin Norte,U$S 58.000,43.0,https://www.gallito.com.uy/venta-casa-2-dorm-a-r-caslelao-prox-minesotta-inmuebles-17612938,-34.884,-56.12913
2 Dormitorios en Cerro,U$S 58.000,80.0,https://www.gallito.com.uy/casa-con-patio-y-jardin-acepta-banco-inmuebles-20040623,-34.87298,-56.26189
2 Dormitorios en Las Acacias,U$S 58.000,,https://www.gallito.com.uy/estudioazul-casa-de-dos-plantas-dos-dormitorios-inmuebles-19115328,-34.83928,-56.1583
1 Dormitorio en Cno. Maldonado,U$S 58.000,,https://www.gallito.com.uy/calle-carina-ruta-8-km-20500-inmuebles-19378144,,
2 Dormitorios en Colon,U$S 58.000,106.0,https://www.gallito.com.uy/casa-de-2-dormitorios-en-barrio-abayuba-inmuebles-15848791,-34.76901,-56.22331
2 Dormitorios en Colon,U$S 58.000,,https://www.gallito.com.uy/casa-al-fte-y-local-adaptable-para-apto-inmuebles-18006723,,
3 Dormitorios en Ituzaingo,U$S 58.000,70.0,https://www.gallito.com.uy/venta-casa-3-dormitorios-ituzaingo-inmuebles-19819528,-34.87116,-56.1321
2 Dormitorios en Union,U$S 58.000,50.0,https://www.gallito.com.uy/casa-2-dormitorios-union-con-altillo-inmuebles-19487829,-34.87831,-56.13891
1 Dormitorio en Prado,U$S 58.000,40.0,https://www.gallito.com.uy/-vendida-molinos-de-raffo-al-frente-inmuebles-14543049,,
3 Dormitorios en Union,U$S 59.000,60.0,https://www.gallito.com.uy/oportunidad-inversores-proximo-a-8-de-octubre-y-comercio-inmuebles-17891308,,
3 Dormitorios en Colon,U$S 59.000,150.0,https://www.gallito.com.uy/casa-de-3-dorm-a-4-cuadras-de-garzon-inmuebles-13711310,-34.79046,-56.23058
1 Dormitorio en La Teja,U$S 59.000,70.0,https://www.gallito.com.uy/venta-casa-de-altos-patio-azotea-transit-la-teja-proximo-a-inmuebles-19932585,-34.86067,-56.22971
3 Dormitorios en Cerro,U$S 59.000,60.0,https://www.gallito.com.uy/acepta-banco-frente-a-terminal-omnibus-del-cerro-inmuebles-19103335,-34.87323,-56.25056
